Field,Class,Package,HasGetter
queue,AbstractReferenceMap,org.apache.commons.collections4.map,No
serialVersionUID,TransformedSortedMap,org.apache.commons.collections4.map,No
serialVersionUID,CompositeMap,org.apache.commons.collections4.map,No
composite,CompositeMap,org.apache.commons.collections4.map,No
EMPTY_MAP_ARRAY,CompositeMap,org.apache.commons.collections4.map,No
mutator,CompositeMap,org.apache.commons.collections4.map,No
serialVersionUID,MapMutator,org.apache.commons.collections4.map,No
composite,MapMutator,org.apache.commons.collections4.map,No
EMPTY_MAP_ARRAY,MapMutator,org.apache.commons.collections4.map,No
mutator,MapMutator,org.apache.commons.collections4.map,No
serialVersionUID,CaseInsensitiveMap,org.apache.commons.collections4.map,No
serialVersionUID,LinkedMap,org.apache.commons.collections4.map,No
serialVersionUID,TransformedMap,org.apache.commons.collections4.map,No
serialVersionUID,UnmodifiableEntrySet,org.apache.commons.collections4.map,No
serialVersionUID,DefaultedMap,org.apache.commons.collections4.map,No
value,DefaultedMap,org.apache.commons.collections4.map,No
serialVersionUID,HashedMap,org.apache.commons.collections4.map,No
serialVersionUID,UnmodifiableSortedMap,org.apache.commons.collections4.map,No
serialVersionUID,ListOrderedMap,org.apache.commons.collections4.map,No
insertOrder,ListOrderedMap,org.apache.commons.collections4.map,No
serialVersionUID,UnmodifiableOrderedMap,org.apache.commons.collections4.map,No
serialVersionUID,UnmodifiableMap,org.apache.commons.collections4.map,No
serialVersionUID,ReferenceMap,org.apache.commons.collections4.map,No
serialVersionUID,LazySortedMap,org.apache.commons.collections4.map,No
serialVersionUID,SingletonMap,org.apache.commons.collections4.map,No
value,SingletonMap,org.apache.commons.collections4.map,Yes
key,SingletonMap,org.apache.commons.collections4.map,Yes
serialVersionUID,ReferenceIdentityMap,org.apache.commons.collections4.map,No
serialVersionUID,MultiKeyMap,org.apache.commons.collections4.map,No
key1,Flat3Map,org.apache.commons.collections4.map,No
key2,Flat3Map,org.apache.commons.collections4.map,No
serialVersionUID,Flat3Map,org.apache.commons.collections4.map,No
hash3,Flat3Map,org.apache.commons.collections4.map,No
hash2,Flat3Map,org.apache.commons.collections4.map,No
size,Flat3Map,org.apache.commons.collections4.map,No
hash1,Flat3Map,org.apache.commons.collections4.map,No
value2,Flat3Map,org.apache.commons.collections4.map,No
value1,Flat3Map,org.apache.commons.collections4.map,No
key3,Flat3Map,org.apache.commons.collections4.map,No
value3,Flat3Map,org.apache.commons.collections4.map,No
delegateMap,Flat3Map,org.apache.commons.collections4.map,No
valuesView,MultiValueMap,org.apache.commons.collections4.map,No
serialVersionUID,MultiValueMap,org.apache.commons.collections4.map,No
collectionFactory,MultiValueMap,org.apache.commons.collections4.map,No
serialVersionUID,PassiveExpiringMap,org.apache.commons.collections4.map,No
expirationMap,PassiveExpiringMap,org.apache.commons.collections4.map,No
expiringPolicy,PassiveExpiringMap,org.apache.commons.collections4.map,No
serialVersionUID,ConstantTimeToLiveExpirationPolicy,org.apache.commons.collections4.map,No
expirationMap,ConstantTimeToLiveExpirationPolicy,org.apache.commons.collections4.map,No
expiringPolicy,ConstantTimeToLiveExpirationPolicy,org.apache.commons.collections4.map,No
timeToLiveMillis,ConstantTimeToLiveExpirationPolicy,org.apache.commons.collections4.map,No
serialVersionUID,ExpirationPolicy,org.apache.commons.collections4.map,No
expirationMap,ExpirationPolicy,org.apache.commons.collections4.map,No
expiringPolicy,ExpirationPolicy,org.apache.commons.collections4.map,No
timeToLiveMillis,ExpirationPolicy,org.apache.commons.collections4.map,No
serialVersionUID,LazyMap,org.apache.commons.collections4.map,No
serialVersionUID,FixedSizeSortedMap,org.apache.commons.collections4.map,No
serialVersionUID,PredicatedMap,org.apache.commons.collections4.map,No
serialVersionUID,LRUMap,org.apache.commons.collections4.map,No
scanUntilRemovable,LRUMap,org.apache.commons.collections4.map,No
maxSize,LRUMap,org.apache.commons.collections4.map,No
lastUsedIterator,LazyIteratorChain,org.apache.commons.collections4.iterators,No
chainExhausted,LazyIteratorChain,org.apache.commons.collections4.iterators,No
currentIterator,LazyIteratorChain,org.apache.commons.collections4.iterators,No
callCounter,LazyIteratorChain,org.apache.commons.collections4.iterators,No
iterators,ZippingIterator,org.apache.commons.collections4.iterators,No
lastReturned,ZippingIterator,org.apache.commons.collections4.iterators,No
nextIterator,ZippingIterator,org.apache.commons.collections4.iterators,No
iterators,CartesianProductIterator,org.apache.commons.collections4.iterators,No
previousTuple,CartesianProductIterator,org.apache.commons.collections4.iterators,No
iterables,CartesianProductIterator,org.apache.commons.collections4.iterators,No
iterator,AbstractUntypedIteratorDecorator,org.apache.commons.collections4.iterators,No
iterators,CollatingIterator,org.apache.commons.collections4.iterators,No
comparator,CollatingIterator,org.apache.commons.collections4.iterators,Yes
lastReturned,CollatingIterator,org.apache.commons.collections4.iterators,No
valueSet,CollatingIterator,org.apache.commons.collections4.iterators,No
values,CollatingIterator,org.apache.commons.collections4.iterators,No
UNSUPPORTED_OPERATION_MESSAGE,ListIteratorWrapper,org.apache.commons.collections4.iterators,No
